2025/11/06 22:48:23 [emerg] 29756#19700: duplicate location "/" in D:\settle\SRC\Infra\nginx-1.28.0/conf/nginx.conf:48
2025/11/06 22:49:09 [emerg] 21740#11868: duplicate location "/" in D:\settle\SRC\Infra\nginx-1.28.0/conf/nginx.conf:48
2025/11/06 22:49:57 [emerg] 3756#25464: duplicate location "/" in D:\settle\SRC\Infra\nginx-1.28.0/conf/nginx.conf:48
2025/11/06 23:07:23 [error] 5096#33444: *211 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.2, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://[::1]:8000/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://192.168.1.3/login"
2025/11/06 23:07:36 [error] 5096#33444: *218 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.5, server: localhost, request: "GET /styles.css HTTP/1.1", upstream: "http://[::1]:4200/styles.css", host: "192.168.1.3", referrer: "http://192.168.1.3/splash"
2025/11/06 23:07:39 [error] 5096#33444: *211 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.2, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://[::1]:8000/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://192.168.1.3/login"
2025/11/06 23:07:52 [error] 5096#33444: *211 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.2, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://[::1]:8000/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://192.168.1.3/login"
2025/11/06 23:08:22 [error] 5096#33444: *269 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.2, server: localhost, request: "GET /styles.css HTTP/1.1", upstream: "http://[::1]:4200/styles.css", host: "192.168.1.3", referrer: "http://192.168.1.3/login"
2025/11/07 21:08:33 [error] 5096#33444: *292 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", upstream: "http://[::1]:4200/styles.css", host: "localhost", referrer: "http://localhost/login"
2025/11/07 21:08:47 [error] 5096#33444: *322 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://[::1]:8000/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/07 21:09:00 [error] 5096#33444: *322 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://[::1]:8000/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/07 21:09:27 [error] 5096#33444: *359 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1", upstream: "http://[::1]:4200/.well-known/appspecific/com.chrome.devtools.json", host: "localhost"
2025/11/07 21:09:46 [error] 5096#33444: *398 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.3, server: localhost, request: "GET /styles.css HTTP/1.1", upstream: "http://[::1]:4200/styles.css", host: "192.168.1.3", referrer: "http://192.168.1.3/login"
2025/11/07 21:09:48 [error] 5096#33444: *398 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://[::1]:8000/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://192.168.1.3/login"
2025/11/07 21:09:59 [error] 5096#33444: *399 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.3, server: localhost, request: "GET /home-page-header.css.map HTTP/1.1", upstream: "http://[::1]:4200/home-page-header.css.map", host: "192.168.1.3"
2025/11/07 21:10:16 [error] 5096#33444: *399 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.3, server: localhost, request: "GET /@fs/D:/settle/SRC/UI/AppUI/.angular/cache/20.3.8/AppUI/vite/deps/zone__js.js.map HTTP/1.1", upstream: "http://[::1]:4200/@fs/D:/settle/SRC/UI/AppUI/.angular/cache/20.3.8/AppUI/vite/deps/zone__js.js.map", host: "192.168.1.3"
2025/11/07 21:16:05 [error] 5096#33444: *510 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.3, server: localhost, request: "GET /styles.css HTTP/1.1", upstream: "http://[::1]:4200/styles.css", host: "192.168.1.3", referrer: "http://192.168.1.3/home"
2025/11/07 21:16:53 [error] 5096#33444: *520 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.3, server: localhost, request: "GET /@vite/client HTTP/1.1", upstream: "http://[::1]:4200/@vite/client", host: "192.168.1.3", referrer: "http://192.168.1.3/home"
